@relation set-sample

@attribute question string
@attribute class {rsp1, rsp2, rsp3, rsp4, rsp5, rsp6, rsp7, rsp8, rsp9, rsp10, rsp11, rsp12, rsp13 ,rsp14, rsp15, rsp16, rsp17, rsp18, rsp19, rsp20, rsp21, rsp22, rsp23, rsp24, rsp25, rsp26, rsp27, rsp28 ,rsp29, rsp30, rsp31, rsp32, rsp33, rsp34, rsp35, rsp36, rsp37, rsp38, rsp39, rsp40, rsp41, rsp42, rsp43, rsp44, rsp45, rsp46, rsp47, rsp48, rsp49, rsp50, rsp51, rsp52, rsp53, rsp54, rsp55, rsp56, rsp57, rsp58, rsp59, rsp60, rsp61, rsp62, rsp63, rsp64, rsp65, rsp66, rsp67, rsp68, rsp69, rsp70, rsp71, rsp72, rsp73, rsp74, rsp75, rsp76, rsp77, rsp78, rsp79, rsp80, rsp81, rsp82, rsp83, rsp84, rsp85, rsp86, rsp87, rsp88, rsp89, rsp90, rsp91, rsp92, rsp93, rsp94, rsp95, rsp96, rsp97, rsp98, rsp99, rsp100 ,rsp101, rsp103, rsp104, rsp105, rsp106, rsp107, rsp108, rsp109, rsp110, rsp111, rsp112, rsp113, rsp115, rsp116, rsp117, rsp118}

@data
'kendi vesikalığımı diplomamın üstüne ekleyecek miyim',rsp45
'diplomamızın üstüne vesikalık fotoğraf eklemek zorunda mıyız',rsp45
'diplomada diploma sahibinin vesikalık fotoğrafı olur mu',rsp45
'diplomaya vesikalık fotoğraf yapıştırılıyor mu',rsp45
'öğrencilerin diplomalarında fotoğrafları olur mu',rsp45
'kızımın diplomasında kendi fotoğrafı da olacak mı',rsp45
'oğlumun diplomasında kendi fotoğrafı da olacak mı',rsp45
'oğlum mezun oluyor diplomasının üzerine vesikalık koyacak mı',rsp45
'kızım mezun oluyor diplomasının üzerine vesikalık koyacak mı',rsp45
'diploma üzerindeki fotoğraf boyutu nedir',rsp45
'diplomadaki vesikalık hangi boyutta olmalı',rsp45
'diplomada öğrencinin fotoğrafı görülüyor mu',rsp45
'oğlumun diplomasında fotoğrafını görecek miyim',rsp45
'kızımın diplomasında fotoğrafını görecek miyim',rsp45
'diplomamı yakınlarımdan birinin alması için ne yapmam gerekir',rsp46
'ailem diplomamı alabilir mi',rsp46
'diplomamı okuldan ailemin alması için ne yapmalıyım',rsp46
'diplomamı benim yerime birisi alsın diye ne yapmam gerek',rsp46
'yakınlarımdan bir kişi diplomamı okuldan benim yerime teslim alabilir mi',rsp46
'benim dışımda biri diplomamı alabilir mi',rsp46
'diplomamı başka birine aldırabilir miyim',rsp46
'diplomamı benim yerime bir arkadaşım alabilir mi',rsp46
'diplomamı okuldan kendim alamayacağım benim yerime başkası alsa olur mu',rsp46
'diplomamı benim yerime alınabilmesi mümkün mü',rsp46
'diplomamı şahsen almasam da olur mu',rsp46
'diploma almak için kendim okula gelemeyeceksem bir tanıdığıma aldırabiliyor muyum',rsp46
'diplomamı şahsen alamayacağım bir yakınıma aldırsam olur mu',rsp46
'diplomamımı kendim alamazsam başkasına aldırabilir miyim',rsp46
'annem babam ya da kardeşim diplomamı alabilir mi',rsp46
'bir arkadaşım okuldan benim diplomamı alabilir mi',rsp46
'diplomamı başkası alsın diye vekalet verebilir miyim',rsp46
'diplomayı okuldan benim yerime bir akrabam alsa olur mu',rsp46
'diplomamı kendim alamayacağım başka biri alabilir mi ',rsp46
'diplomamı annem alsa olur mu',rsp46
'ben edirne\'ye gelemem kardeşimi yollasam diplomamı o alabilir mi',rsp46
'diplomamı kendim teslim alamayacağım geçerli sebeplerim var diplomamı babama aldırabilir miyim',rsp46
'arkadaşımın diplomasını ben teslim alabilir miyim',rsp46
'buradan mezun birinin diplomasını okuldan onun yerine almam lazım nasıl alabilirim',rsp46
'okul oğlumun diplomasını bana verir mi',rsp46
'kızımın diplomasını almam gerek okula gidip annesi olduğumu söylesem diplomayı bana verirler mi',rsp46
'arkadaşımın diploması okulda kaldı kendisi gelemiyor öğrenci işlerine ben gitsem alabilir miyim',rsp46
'kardeşim rahatsız diplomasını okuldan benim almam lazım bunun için kiminle görüşmeliyim',rsp46
'sınıf arkadaşım diplomasını bana aldırabilir mi',rsp46
'sınıf arkadaşımın diplomasını almak istiyorum desem okul diplomayı bana verir mi',rsp46
'diplomayı başkasına aldırmak',rsp46
'başka biri aracılığıyla diploma okuldan sadece vekaletle mi aldırılır',rsp46
'diplomasını almak için o kişiden vekalet mi almalıyım',rsp46
'geçerli sebeplerle diplomamı kendim alamıyorum başka birine aldırmam gerek',rsp46
'ailemden birinin diplomamı alması için ona vekalet mi vermem gerek',rsp46
'noter vekaletiyle arkadaşıma diplomamı aldırabilir miyim',rsp46
'diplomam bir yakınım tarafından okuldan alınabilir mi',rsp46
'vefat eden öğrencinin diploması okuldan nasıl alınır',rsp46
'ölen bir öğrencinin yakınıyım diplomasını okuldan alabilir miyim',rsp46
'oğlum vefat etti diplomasını okul bana verir mi',rsp46
'diplomamı posta yoluyla okuldan alabilir miyim',rsp46
'kargo ile diplomamı okuldan alabilir miyim',rsp46
'yurtdışında olduğum için diplomamı alamayacağım ne yapmam gerekir',rsp46
'sadece stajım kaldı harç öder miyim',rsp47
'mezun olmak için stajım kaldı okula harç ödeyecek miyim',rsp47
'ders eksiğim yok ama mezun olmak için stajımı yapmam gerekiyor bu durumda okula harç ödemeli miyim',rsp47
'mezun olmak için sadece stajım var bu durumda okula harç ödemem gerekiyor mu',rsp47
'sadece bir stajım kaldı okula ne kadar harç öderim',rsp47
'derslerimi verdim ama stajlarımı yapmadım okula harç ödeyerek mi devam edeceğim',rsp47
'mezun olmak için stajım eksik tamamlayana kadar okula harç mı ödeyeceğim',rsp47
'dersim yok ama eksik stajlarımı tamamlayana kadar harç mı ödemem gerekiyor',rsp47
'tüm derslerimi verdim ama stajım olduğu için mezun olamadım ne kadar harç öderim',rsp47
'derslerimi verdim ama stajım eksik okula ne kadar harç ödemem lazım',rsp47
'tüm dönem bitti ama stajımı daha yapmadım stajı verene kadar dönem bittiği için okula ödeme mi yapmam lazım',rsp47
'okulum bitti kalan stajımı yapana kadar okula para ödüyor muyum',rsp47
'dersleri verip stajları bırakanlar da ders alanlar gibi harç mı ödüyor',rsp47
'sadece stajı olup dersi olmayan da okula ödeme yapıyor mu',rsp47
'stajımı okul sonunda yaparken okula harç ödemem gerekecek mi',rsp47
'stajımı okulumu bitirip yapmak istiyorum okula herhangi bir şey ödemem gerekir mi',rsp47
'stajım okul sonuna kaldı şimdi stajı verene kadar okula harç ödemesi yapmam mı gerekecek',rsp47
'dersim yok stajım var harç ödenir mi',rsp47
'okul bitimine kalan staj için okula ne kadar harç ödemem lazım',rsp47
'stajım var ama derslerimin hepsini verdim bu durumda harcım kaç tl olur',rsp47
'okulu bitirip stajlarını yapanlar okula kaç tl verir',rsp47
'4. sınıf sonunda staj yapacağım okula ödeme yapmak mı gerekiyor',rsp47
'dördüncü sınıf sonunda staj yapacağım okula ödeme yapmak mı gerekiyor',rsp47
'stajım yüzünden mezuniyet gecikmiş oldu okul benden harç ister mi',rsp47
'son sınıfın yazına staj bıraktım okulu uzatmış gibi harç ödemesi mi yapmalıyım',rsp47
'bölüm için hazırlık sınıfı var mı',rsp48
'bilgisayar mühendisliğinde ingilizce hazırlık oluyor mu ',rsp48
'bilgisayar mühendisliği birinci sınıftan önce hazırlık okuyacak mıyız',rsp48
'bilgisayar mühendisliğinde hazırlık sınıfı oluyor mu',rsp48
'bilgisayar mühendisliği bölümünde hazırlık okumak gerekiyor mu',rsp48
'bilgisayarda hazırlık okumadan birinci sınıfa geçiliyor mu',rsp48
'bilgisayarda hazırlıksız birinci sınıfa geçiliyor mu',rsp48
'bilgisayar mühendisliğinde ingilizce hazırlık okumak zorunlu mu',rsp48
'bu bölümde direkt ilk sınıf mı okunuyor yoksa önce hazırlık mı',rsp48
'ilk sene hazırlık mı var',rsp48
'hazırlık okumak zorunlu mu ',rsp48
'hazırlık okumadan da birinci sınıfa geçebilir miyim',rsp48
'ingilizce hazırlık olacak mı',rsp48
'üniversiteye başladığım sene hazırlık okuyacak mıyım',rsp48
'ilk sene ingilizce okunuyor mu',rsp48
'bölüm 5 sene mi 1 sene hazırlık mı okunuyor',rsp48
'ingilizce hazırlıktan muaf olunabilir mi',rsp48
'hazırlığı sınavla geçebiliyor muyuz',rsp48
'ingilizce hazırlık okumak zorunlu mu',rsp48
'bilgisayar mühendisliği hazırlık eğitimi nasıl',rsp48
'bilgisayar mühendisliği ingilizce hazırlıktan muaf olunabilir mi',rsp48
'ingilizce hazırlık yarım dönem okunsa olur mu',rsp48
'bilgisayar mühendisliği 5 yıl mı',rsp48
'bilgisayar mühendisliği ingilizce hazırlıktan kalsam ne olur',rsp48
'ingilizce hazırlık muafiyet sınavı ne zaman',rsp48
'hazırlık sınavında geçme notu nedir',rsp48
'ingilizce hazırlık eğitimi nasıl',rsp48
'hazırlıkta ders saatleri nasıl',rsp48
'hazırlık okumak ne kadar sürüyor',rsp48
'ingilizce hazırlıkta haftanın her günü ders var mı',rsp48
'ingilizce hazırlıkta günde kaç saat ders olacak',rsp48
'isteğe bağlı hazırlık hangi bölümlerde var',rsp49
'hazırlık okumak hangi bölümlerde isteğe bağlı',rsp49
'hangi bölümlerde hazırlık okunabiliyor',rsp49
'mühendislikte hangi bölümlerde hazırlık var',rsp49
'mühendislik fakültesinde isteğe bağlı hazırlık var mı',rsp49
'istersem hazırlık okuyabilir miyim',rsp49
'hazırlık okumak istiyorum',rsp49
'hazırlık sınıfı olan bölümler neler',rsp49
'gıda mühendisliğinde hazırlık var mı',rsp49
'makine mühendisliğinde hazırlık var mı',rsp49
'genetik ve biyomühendislikte hazırlık var mı',rsp49
'mühendislik fakültesinde ingilizce hazırlık okumak zorunlu mu',rsp49
'elektrik elektronik mühendisliğinde hazırlık var mı',rsp49
'gıdada hazırlık okunuyor mu',rsp49
'makinede hazırlık okunuyor mu',rsp49
'genetikte hazırlık okunuyor mu',rsp49
'elektrikte hazırlık okunuyor mu',rsp49
'erasmus için genel ortalama kaç',rsp50
'erasmus plus için genel ortalama kaç',rsp50
'erasmus yapmak istiyorum ortalamam kaç olmalı',rsp50
'erasmus yapabilmek için gano kaç olması gerek',rsp50
'erasmus yapmak için belirlenen genel ortalama sınırı nedir',rsp50
'genel ortalamam minimum kaç olursa erasmus yapmaya hak kazanırım',rsp50
'erasmus için ortalamam kaç olmalı',rsp50
'erasmus yapmak için not ortalaması sınırı nedir',rsp50
'erasmus plus için not ortalaması',rsp50
'erasmus+ için kaç ortalamam olması lazım',rsp50
'erasmus stajı yapmak için not sınırı nedir',rsp50
'güz dönemini yurtdışında erasmusla okumak istiyorum beklenen minimum not ortalaması nedir',rsp50
'bahar dönemini yurtdıında erasmusla okumak için ganom kaç olmalı',rsp50
'stajımı erasmusla yurtduşında yapacağım yapmam gereken not ortalaması nedir ',rsp50
'öğrenci değişimi programı erasmus için minimum genel ortalama ne olmalı',rsp50
'yüksek lisans öğrencisi kaç ortalamayla erasmus yapabiliyor',rsp50
'lisans öğrencisi kaç ortalamayla erasmus yapabiliyor',rsp50
'yüksek lisanslılara erasmus için minimum genel ortalama kaç',rsp50
'birinci sınıftayım not ortalamam erasmus için kaç olmalı',rsp50
'ikinci sınıfta erasmus yapmak için not ortalamamı minimum kaçta tutmam gerek',rsp50
'üçüncü sınıfta erasmus yapmak için genel ortalama sınırı nedir',rsp50
'yazın erasmus stajı yapacağım ortalamam kaç olmalı',rsp50
'erasmus başvuruları nereden yapılır',rsp51
'diğer dönem erasmus yapmak istiyorum nerden başvurmam gerek',rsp51
'erasmus yapmak için nereye başvurmalıyım',rsp51
'erasmus için yapılan başvuruları hangi birim alıyor',rsp51
'öğrenci erasmusa nereden başvurabilir',rsp51
'sonraki sene erasmusa başvuracağım önce hangi ofise gitmem lazım',rsp51
'erasmusa başvurmak için kimle görüşebilirim',rsp51
'güz döneminde erasmus yapmak için nereye başvurulur',rsp51
'bahar döneminde erasmus yapmak için nereye başvurulur',rsp51
'bu dönem yurtdışında okumak istiyorum',rsp51
'güz döneminde yurtdışında okumak için nereye başvurulur',rsp51
'bahar döneminde yurtdışında okumak için nereye başvurulur',rsp51
'öğrenci değişimi programıyla ilgili bilgilendirmeyi hangi birim yapar',rsp51
'erasmus için dış ilişkiler birimiyle görüşebilir miyim',rsp51
'erasmus ile ilgili görüşmeyi dış ilişkilerle mi yapacağım',rsp51
'erasmusla ilgili sorularım var',rsp51
'erasmus+ yapmak istiyorum beni hangi birim bilgilendirir',rsp51
'erasmusla ilgili sorularımı öğrenci işlerine mi sormalıyım',rsp51
'yurtdışında öğrenci olmak için yapmam gerekenleri nerden öğreneceğim',rsp51
'erasmus başvurusu için gereken belgeleri nereye vereceğim',rsp51
'erasmus başvuru formunu nereden temin ederim',rsp51
'erasmus başvuru belgelerini kime sorabilirim',rsp51
'mezuniyet işlemleri neler',rsp52
'mezun olmak için ne yapılır',rsp52
'mezun olacağım ne yapmam gerekiyor',rsp52
'mezun olmam için gereken işlemler neler',rsp52
'senem bitti mezuniyet için ne yapmam lazım',rsp52
'mezuniyet işlemleri nasıl ilerler',rsp52
'mezuniyet için ne yapılır',rsp52
'çocuğum mezun olacak ne yapmamız gerekiyor',rsp52
'okul bitmeye yakın yapmamız gerekenler neler',rsp52
'mezuniyet işlemleri için gereken belgeler neler',rsp52
'okul bitti ne yapmam gerek',rsp52
'okuldan ilişki nasıl kesilir',rsp53
'mezun olduktan sonra okuldan ilişkimi kesmek için ne yapmalıyım',rsp53
'mezun oldum okuldan ilişkimi kesmek için ne yapacağım',rsp53
'okuldan ayrılmak için gerekli işlemler neler',rsp53
'oğlum okuldan ayrılıyor ilişiğini nasıl keser',rsp53
'kızımın okuldan ilişkisini kesmesi için hangi işlemleri yapacağız',rsp53
'diplomam ne zaman hazır olur',rsp54
'mezun oldum ne zaman diplomamı alabilirim',rsp54
'mezun olduktan sonra okuldan diplomamı almak için ne kadar beklemeliyim',rsp54
'diplomamın hazır olması ne kadar sürer',rsp54
'diplomamı mezun olduktan 1 ay sonra alabilir miyim',rsp54
'diplomamı almak için ne kadar beklerim',rsp54
'okul diplomayı ne zaman verir',rsp54
'geçici mezuniyet belgem var diplomamı ne zaman alırım',rsp54
'diplomamı almam için ne yapmam gerekiyor',rsp55
'geçiçi mezuniyet belgem var diplomamı nasıl alacağım',rsp55
'mezuniyet belgesi verildi diplomamı almak için ne yapmam gerek',rsp55
'diplomamı almam gerekiyor ne yapacağım',rsp55
'okuldan diplomamı almak istiyorum ne yapmam lazım',rsp55
'diplomamı okuldan nasıl teslim alabilirim',rsp55
'okuldan diplomaları teslim almak için neler yapmamız gerekiyor',rsp55
'diploma işlemleri',rsp55
'oğlum mezun oldu diplomasını okuldan nasıl alacak',rsp55
'mezun oldum üniversite diplomasımı okuldan nasıl alacağım',rsp55
'kızımın geçici mezuniyet belgesi var artık diplomasını alması lazım',rsp55
'mezuniyet belgemi verip diplomamı alabiliyor muyum',rsp55
'diplomamı kaybettim ne yapmam gerekiyor',rsp56
'diplomam kayboldu ne yapacağım',rsp56
'şu an diplomam kayıp nereye başvurmalıyım',rsp56
'diplomam kayıpsa yapmam gereken işlemler ne',rsp56
'diplomama ulaşamıyorum galiba kayboldu nereye başvurmam lazım',rsp56
'diplomamı kaybetmiş olabilirim ne yapacağım',rsp56
'diplomasını kaybeden öğrenciler hangi işlemleri yapmak zorundadır',rsp56
'arkadaşım diplomasını kaybetti bununla kim ilgilenir',rsp56
'diplomamızı kaybedersek ne yaparız',rsp56
'kayıp diploma',rsp56
'oğlumun diploması kayıp okula mı bildirmesi gerek',rsp56
'kızımın diploması kayboldu nereye bildirecek',rsp56
'oğlumun diploması kayboldu nereye bildirecek',rsp56
'diplomamı bulamıyorum bununla hangi birim ilgilenir',rsp56
'kayıp diploma için dekanlığa mı başvurulur',rsp56
'diplomam kayıp hangi gazeteye ilan vermeliyim',rsp56
'dekanlığa diplomam kayıp bildirimini nasıl yapacağım',rsp56
'oğlum diplomasını bulamıyor',rsp56
'öğrencinin diplomasının kayıp olması halinde nereye başvuru yapılır',rsp56
'diplomam kaybolunca gazeteye ilan mı vermem gerekiyor',rsp56
'kayıp diploma için gazeteye ilan vermek yeter mi',rsp56
'diplomam kayboldu öğrenci işleri ilgilenir mi',rsp56
'kaybolan diplomayı rektörlüğe mi bildirmek gerekir',rsp56
'dönem içinde devam zorunluluğum yoksa staj yapabilir miyim',rsp57
'dönem içinde staj yapılabiliyor mu',rsp57
'stajımı okul zamanı yapsam olur mu',rsp57
'bu dönem dersim yok dönem içinde staj yapsam geçerli sayılır mı',rsp57
'devam zorunluluğum olmayan dönemde staj yapabilir miyim',rsp57
'dönem içinde bir staj yapılabilir mi',rsp57
'stajlarımdan birini bu dönem yapsam olur mu',rsp57
'güz dönemi içinde staj yapabilir miyim',rsp57
'stajlarımdan birini güz döneminde yapabilir miyim',rsp57
'yazın dışında da staj yapılabilir mi',rsp57
'yazın staj yapmak istemiyorum dönem içinde yapsam olur mu',rsp57
'yaz dışında staj dönemleri var mıdır',rsp57
'yaz stajı yapmasam okul dönemi içinde staj yapsam olur mu',rsp57
'okul döneminde staj yapmak için devam zorunluluğu mu önemli',rsp57
'stajımı okul dönemi içinde yapmam için ne gerekir',rsp57
'okul döneminde staj oluyor mu',rsp57
'dönem içinde staj yapmak istiyorum kabul olur mu',rsp57
'dönem içinde staj yapsam geçerli olur mu',rsp57
'devam zorunluluğum olmayan okul döneminde staj yapmam mümkün mü',rsp57
'okul döneminde devam zorunluluğum yoksa staj yapabiliyor muyum',rsp57
'bu dönemde dersim yok stajı dönem içi yapabiliyor muyuz',rsp57
'bu dönem alttan derslerim var derslere devam zorunluluğum yoksa stajımı dönem içinde yapabilir miyim',rsp57
'alttan derslerim var ama okula gitmeme gerek yok güz döneminde staj yapsam sayılır mı',rsp57
'sadece bir dersim var bu dönemde staj yapsam olur mu',rsp57
'dersi olanlar dönem içinde 20 gün staj da yapabilir mi',rsp57
'dersim var ama yazın vaktim yok stajımı okul zamanı yapsam kabul oluyor mu',rsp57
'yazın vakti olmayan öğrenciler güz döneminde ya da bahar döneminde staj yapabilir mi',rsp57

'Mezuniyet için toplam kaç akts ders almam gerekiyor',rsp58
'Mezun olabilmem için kaç akts değerinde ders tamamlamam gerek',rsp58
'Mezuniyet için tamamlanması gereken akts sayısı kaçtır',rsp58
'Okulu uzatmadan bitirebilmem için kaç akts ders vermeliyim',rsp58
'Mezun olmak için kaç akts ders verme şartı var',rsp58
'Mezun olmak isteyen öğrenciler kaç akts ders vermelidir',rsp58
'Verilmesi gereken akts sayısı',rsp58
'Mezuniyet için toplam kredi sayısı',rsp58
'Bitirmek için kaç toplam puan ders vermeliyim',rsp58
'Mezuniyet şartı toplam kaç kredi',rsp58
'Mezuniyet için ne kadar ders vermem gerekiyor',rsp58
'Mezun olmam için kaç tane ders vermeliyim',rsp58
'Toplam kaç akts ders verildiğinde mezun olunuyor',rsp58
'Kaç akts ders verdikten sonra mezun olurum',rsp58
'Bölümde toplam kaç akts ders var',rsp58
'Okulu bitirebilmem için kaç kaç kredi ders vermek zorundayım',rsp58
'Okulun mezuniyet şartında toplam akts sayısı nedir',rsp58
'Geçilmesi gereken derslerin toplam akts sayısı kaçtır',rsp58
'Mezun olabilmek için toplam akts sayısını nasıl öğrenebilirim',rsp58
'Mezuniyet için toplam kaç akts ders almak gerektiğini öğrenebilir miyim',rsp58
'Toplam kaç alan dışı ders almam lazım',rsp59
'Toplam kaç alan dışı ders almam gerekiyor',rsp59
'Kaç alan dışı ders var',rsp59
'Toplam kaç bölüm dışı ders alacağım',rsp59
'Alan dışı ders sayısı',rsp59
'Kaç tane alan dışı ders seçeceğim',rsp59
'Toplam kaç alan dışı seçmeli ders var',rsp59
'Kaç bölüm dışı seçmeli ders seçmek zorundayım',rsp59
'Bölüm dışı seçmeli ders sayısı',rsp59
'Kaç tane bölüm dışı ders almalıyım',rsp59
'Mezun olmam için kaç tane alan dışı ders vermeliyim',rsp59
'Okul bitimine kadar kaç alan dışı ders almış olacağım',rsp59
'Toplam kaç alan dışı ders almam gerektiğini öğrenebilir miyim',rsp59
'Alanım dışında kaç ders alacağım',rsp59
'Bölümüm dışında kaç tane ders alacağım',rsp59
'Bölümüm dışında ders alacak mıyım',rsp59
'Alanım dışında ders alacak mıyım',rsp59
'Bölümüm dışında alacağım derslerin sayısı nedir',rsp59
'Kaç tane alan dışı ders almak zorundayım',rsp59
'Alan dışı ders almak zorunda mıyım',rsp60
'Bölüm dışı ders almasam olur mu',rsp60
'Alan dışı ders almadan okulu bitirebilir miyim',rsp60
'Alan dışı dersler yerine alan dersleri alsam olur mu',rsp60
'Bölüm dışı seçmeli dersleri almadan ders seçimini bitirebilir miyim',rsp60
'Alan dışı seçmeli ders almak mecburiyetinde miyim',rsp60
'Bölüm dışı ders almak yükümlülüğünde miyim',rsp60
'Alan dışı ders almama gerek var mı',rsp60
'Bölüm dışı ders alacak mıyım',rsp60
'Alan dışı seçmeli ders alacak mıyım',rsp60
'Alan dışı ders seçmezsem bir şey olur mu',rsp60
'Ders seçiminde alanım dışındaki derslerden almak zorunda mıyım',rsp60
'Ders seçimini bölümüm dışındaki dersleri almadan tamamlayabilir miyim',rsp60
'Alan dışı ders seçmek istemiyorum, almasam olur mu',rsp60
'Mezun olmak için alan dışı dersleri vermek gerekiyor mu',rsp60
'Bölüm dışı derslerden kaç tane almam gerekiyor',rsp60
'Bilgisayar mühendisliği için kaç tane alan seçmeli alınır',rsp61
'Bilgisayar mühendisliği bölümü öğrencileri kaç adet alan seçmeli ders seçiyor',rsp61
'Bilgisayar mühendisliğinde kaç tane bölüm seçmeli ders almak zorundayım',rsp61
'Bilgisayar mühendisliğinde seçmem gereken kaç adet alan seçmeli ders var',rsp61
'Bilgisayar bölümünde kaç tane alan seçmeli ders alınıyor',rsp61 
'Bilgisayar bölümü öğrencilileri kaç tane alan seçmeli seçmek mecburiyetinde',rsp61
'Bilgisayar mühendisliğinde seçilmesi gereken alan seçmelilerin sayısı kaç',rsp61
'Bilgisayar bölümünde hangi dönemlerde kaç tane alan seçmeli ders alıyoruz',rsp61
'Bilgisayar mühendisliği bölümünde güz dönemi alan seçmeli ders alıyor muyuz',rsp61
'Bilgisayar mühendisliği bölümünde bahar dönemi alan seçmeli ders alıyor muyuz',rsp61
'Bilgisayar bölümünde alan içi seçmelilerden kaç tane almam gerekiyor',rsp61
'Bilgisayar bölümünde kaç tane alan içi seçmeli alacağım ',rsp61
'Bilgisayar mühendisliği okuyanlar kaç tane alan içi ders alıyor',rsp61
'Öğrenci belgesini nasıl alırım',rsp62
'Öğrenci belgemi okuldan alabilir miyim',rsp62
'Öğrenci belgesini e devletten alabilir miyim',rsp62
'Islak imzalı öğrenci belgesini nereden alabilirim',rsp62
'Öğrenci belgesini okulun hangi bölümünde veriyorlar',rsp62
'Öğrenci belgemi okulda nereden alacağım',rsp62
'Öğrenci belgemi e devletten alabilme imkanım var mı',rsp62
'Öğrenci belgemi okuldan imzalı almam mümkün mü',rsp62
'Okulda öğrenci belgesi çıkarttırabiliyor muyum',rsp62
'Okulda öğrenci belgesi veriyorlar mı',rsp62
'Öğrenci belgesini hangi siteden alabilirim',rsp62
'Öğrenci belgesini alabileceğim bir site var mı',rsp62
'Öğrenci belgesini öğrenci işleri veriyor mu',rsp62
'Öğrenci işlerinde öğrenci belgemi çıkarttırabilir miyim',rsp62
'E devletten öğrenci belgemi çıkartsam olur mu',rsp62
'Öğrenci belgesini almak için nereye gitmeliyim',rsp62
'Öğrenci belgemi çıkartmak istiyorum bilgi alabilir miyim',rsp62
'Öğrenci belgemi nereden alabileceğim konusunda bilgi almak istiyorum',rsp62
'Okulda öğrenci belgesini nerede veriyorlar',rsp62
'Öğrenci belgesine ihtiyacım var nereden alacağım',rsp62
'Öğrenci belgesi lazım ne yapacağım',rsp62
'Öğrenci belgesinin ıslak imzalı olması şart mı',rsp63
'Öğrenci belgeme imza attırmasam olur olur mu',rsp63
'Okuldan aldığım öğrenci belgesini imzalattırmak zorunda mıyım',rsp63
'Okuldan aldığım öğrenci belgesini imzalattırmak mecburiyetinde miyim',rsp63
'Öğrenci belgesini imzalı olması mı gerekiyor',rsp63
'Öğrenci belgesi ıslak imzalı olmasa da olur mu',rsp63
'Her kurum öğrenci belgesini imzalı mı istiyor',rsp63
'Öğrenci belgemi imzalattıracak mıyım',rsp63
'Öğrenci belgemi imzalattırmama gerek var mı',rsp63
'Öğrenci belgesini imzalattırmadan kullansam olur mu',rsp63
'Öğrenci belgesini imzalattırmadan alsam olur mu',rsp63
'Islak imzasız öğrenci belgesinin hükmü var mı',rsp63
'Kurumlar öğrenci belgesini imzalı mı alıyor',rsp63
'Öğrenci belgesinin imzalı veya imzasız olmasının bir önemi var mı',rsp63
'Öğrenci belgesinin imzalı ya da imzasız olması fark eder mi',rsp63
'Transkript nasıl alabilirim',rsp64
'Transkriptimi nereden alabilirim',rsp64
'Transkript belgemi nasıl alabilirim',rsp64
'Transkript belgesini okuldan alabilme imkanım var mı',rsp64
'Transkript belgesini nereden alacağım',rsp64
'Transkript belgemi nasıl temin edebilirim',rsp64
'Transkript belgesini internetten alabilir miyim',rsp64
'Transkript belgesi e devletten alınabiliyor mu',rsp64
'Transkript belgemi nasıl çıkarttırabilirim',rsp64
'Transkripti nasıl alabileceğim konusunda bilgi almak istiyorum',rsp64
'Transkripimi kimden alabilirim',rsp64
'Transkriptimi hangi birimden alabilirim',rsp64
'Öğrenci transkriptini nereden alabilir',rsp64
'Transkripti nereden alacağımı öğrenebilir miyim',rsp64
'Transkripti okulda nerede çıkarttırıyorlar',rsp64
'Transkripti okulda hangi birim veriyor',rsp64
'Transkriptimi çıkarmakmak için kiminle görüşmeliyim',rsp64
'Transkriptimi öğrenci işlerinden alabilir miyim',rsp64
'Öğrenci işleri transktriptimi verir mi',rsp64
'Transkript belgesi için öğrenci işlerine mi gitmeliyim',rsp64
'Kayıt için gerekli evraklar nelerdir',rsp65
'Okula kayıt için hangi belgeleri götürmem gerekiyor,'rsp65
'Okula kayıt için gerekli belgeleri sorabilir miyim',rsp65
'Okula kayıt için fotoğraf götürmeli miyim',rsp65
'Kayıt için gereken belgeler nelerdir',rsp65
'Üniversite kaydı için hangi belgeleri getirmek zorundayım',rsp65
'Üniversite kaydında hangi belgeler isteniyor',rsp65
'Kayıt için istenen belgeler nelerdir',rsp65
'Üniversiteye kayıt olmam için lazım olan evraklar neler',rsp65
'Kayıt için hangi belgelere ihtiyacım var',rsp65
'Kayıt için nüfus cüzdanı fotokopisi gerekli mi',rsp65
'Kayıt için ÖSYM sonuç belgesi lazım mı',rsp65
'Üniversiteye kayıt işlemleri için gerekli belgeleri öğrenebilir miyim',rsp65
'Üniversiteye kayıt için diploma götürecek miyim',rsp65
'Ek puandan yararlanarak yerleşenler hangi belgeleri götürecek',rsp65
'Kayıt için diploma denklik belgesi mi gerekiyor',rsp65
'Üniversiteye kayıt olmak istiyorum hangi belgeleri götürmem gerekecek',rsp65
'Üniversiteye kayıt olmam için kaç tane fotoğraf getireceğim',rsp65
'Okula kayıt için gerekli evraklar hakkında bilgi edinebilir miyim',rsp65
'Kayıt tarihleri',rsp66
'Kayıt tarihleri ne zaman',rsp66
'Üniversiteye kayıtlar ne zaman',rsp66
'Üniversiteye kayıtlar ne zaman başlıyor',rsp66
'Üniversiteye kayıtlar ne zaman bitiyor',rsp66
'Üniversite kayıt tarihlerini nerede görebilirim',rsp66
'Kayıt tarihlerini internette görebilr miyim',rsp66
'Üniversite kayıt tarihleri üniversitenin sitesinde var mı'rsp66
'Okul kaydı ne zaman başlıyor,'rsp66
'Okul kaydı ne zamana kadar',rsp66
